iitem,iname,date,index,avgprice,upt
-2030,Large Big Burger,29/08/05 0:00,0.999999555,13272.9941,15.62322014
-2020,Double Cheeseburger,29/08/05 0:00,0.910946794,12090.9968,14.15503297
-2010,Cheeseburger,29/08/05 0:00,0.688318052,9136.0455,54.87033123
-2114,Nuggets,05/09/05 0:00,0.739697755,9818.0083,4.869743297
-2054,2-pc Chicken,05/09/05 0:00,0.890379387,11818.0056,82.78903789
-2045,Chicken Burger,05/09/05 0:00,0.739697446,9818.0042,15.18584288
-2030,Large Big Burger,05/09/05 0:00,0.999999555,13272.9941,14.32007294
-2020,Double Cheeseburger,05/09/05 0:00,0.910946772,12090.9965,13.52914362
-2010,Cheeseburger,05/09/05 0:00,0.688587976,9139.6282,53.55356888
-2114,Nuggets,12/09/05 0:00,0.739698049,9818.0122,5.357896442
-2054,2-pc Chicken,12/09/05 0:00,0.791205025,10501.6643,93.70175623
-2045,Chicken Burger,12/09/05 0:00,0.7396978,9818.0089,15.77276394
-2030,Large Big Burger,12/09/05 0:00,0.999999126,13272.9884,14.13815146
-2020,Double Cheeseburger,12/09/05 0:00,0.910946659,12090.995,12.92198554
-2010,Cheeseburger,12/09/05 0:00,0.688596542,9139.7419,54.56008803
-1010,1-pc Chicken & Rice,12/09/05 0:00,0.527386424,7000,0.979342986
-2114,Nuggets,19/09/05 0:00,0.739698147,9818.0135,5.080570295
-2054,2-pc Chicken,19/09/05 0:00,0.739828381,9819.7421,83.48173487
-2045,Chicken Burger,19/09/05 0:00,0.739697928,9818.0106,14.3260162
-2030,Large Big Burger,19/09/05 0:00,0.999998629,13272.9818,15.11708972
-2020,Double Cheeseburger,19/09/05 0:00,0.910946553,12090.9936,12.65356398
-2010,Cheeseburger,19/09/05 0:00,0.688713953,9141.3003,58.25768768
-2114,Nuggets,26/09/05 0:00,0.739698177,9818.0139,4.833934287
-2054,2-pc Chicken,26/09/05 0:00,0.739698071,9818.0125,84.21818232
-2045,Chicken Burger,26/09/05 0:00,0.746235282,9904.7809,13.24957716
-2030,Large Big Burger,26/09/05 0:00,1.003022768,13313.1212,14.352565
-2020,Double Cheeseburger,26/09/05 0:00,0.915998923,12158.0537,11.64912979
-2010,Cheeseburger,26/09/05 0:00,0.689825639,9156.0557,59.13592996
-2114,Nuggets,03/10/05 0:00,0.739698132,9818.0133,4.555505526
-2054,2-pc Chicken,03/10/05 0:00,0.739698192,9818.0141,105.9068446
-2045,Chicken Burger,03/10/05 0:00,0.755423273,10026.7331,13.79229884
-2030,Large Big Burger,03/10/05 0:00,1.011159218,13421.1163,14.43032483
-2020,Double Cheeseburger,03/10/05 0:00,0.925888375,12289.3164,11.47170719
-2010,Cheeseburger,03/10/05 0:00,0.692004588,9184.9769,56.73691637
-2114,Nuggets,10/10/05 0:00,0.739698184,9818.014,4.848615659
-2054,2-pc Chicken,10/10/05 0:00,0.765031643,10154.265,122.6241109
-2045,Chicken Burger,10/10/05 0:00,0.752823612,9992.2278,14.22594626
-2030,Large Big Burger,10/10/05 0:00,1.009237686,13395.6118,15.11434523
-2020,Double Cheeseburger,10/10/05 0:00,0.923546463,12258.2322,12.05601731
-2010,Cheeseburger,10/10/05 0:00,0.690874829,9169.9816,59.21246611
-2114,Nuggets,17/10/05 0:00,0.746749273,9911.6031,4.426641225
-2054,2-pc Chicken,17/10/05 0:00,0.897298772,11909.8466,124.7246503
-2045,Chicken Burger,17/10/05 0:00,0.757774844,10057.9455,14.12877247
-2030,Large Big Burger,17/10/05 0:00,1.031588985,13692.2806,14.9460525
-2020,Double Cheeseburger,17/10/05 0:00,0.950695706,12618.5841,13.52370463
-2010,Cheeseburger,17/10/05 0:00,0.706649326,9379.3565,59.95082289
-1010,1-pc Chicken & Rice,17/10/05 0:00,0.541098471,7182,1.16979782
-2114,Nuggets,24/10/05 0:00,0.753409177,10000,3.804468303
-2054,2-pc Chicken,24/10/05 0:00,0.904091012,12000,124.0346536
-2045,Chicken Burger,24/10/05 0:00,0.763975785,10140.2506,13.62718607
-2030,Large Big Burger,24/10/05 0:00,1.054772847,14000,14.17089552
-2020,Double Cheeseburger,24/10/05 0:00,0.979431929,13000,13.17334595
-2010,Cheeseburger,24/10/05 0:00,0.721666323,9578.6771,57.24676321
-1010,1-pc Chicken & Rice,24/10/05 0:00,0.562909146,7471.4931,4.983254348
-2114,Nuggets,31/10/05 0:00,0.753409177,10000,3.74377524
-2054,2-pc Chicken,31/10/05 0:00,0.904091012,12000,117.347156
-2045,Chicken Burger,31/10/05 0:00,0.764704995,10149.9294,15.50565134
-2030,Large Big Burger,31/10/05 0:00,1.054772847,14000,15.34683149
-2020,Double Cheeseburger,31/10/05 0:00,0.979431929,13000,13.74021906
-2010,Cheeseburger,31/10/05 0:00,0.722355669,9587.8268,64.45323964
-2114,Nuggets,07/11/05 0:00,0.753409177,10000,3.7008963
-2054,2-pc Chicken,07/11/05 0:00,0.904091012,12000,103.5240299
-2045,Chicken Burger,07/11/05 0:00,0.765130506,10155.5772,13.59078699
-2030,Large Big Burger,07/11/05 0:00,1.054772847,14000,13.52030639
-2020,Double Cheeseburger,07/11/05 0:00,0.979431929,13000,12.91257746
-2010,Cheeseburger,07/11/05 0:00,0.721875544,9581.4541,58.69969946
-2114,Nuggets,14/11/05 0:00,0.753409177,10000,4.288605331
-2054,2-pc Chicken,14/11/05 0:00,0.904091012,12000,97.53423743
-2045,Chicken Burger,14/11/05 0:00,0.766380065,10172.1626,14.00659985
-2030,Large Big Burger,14/11/05 0:00,1.054772847,14000,13.9027236
-2020,Double Cheeseburger,14/11/05 0:00,0.979431929,13000,13.79884734
-2010,Cheeseburger,14/11/05 0:00,0.721935335,9582.2477,58.96646837
-2114,Nuggets,21/11/05 0:00,0.753409177,10000,4.486163228
-2054,2-pc Chicken,21/11/05 0:00,0.904091012,12000,103.4307743
-2045,Chicken Burger,21/11/05 0:00,0.76559566,10161.7512,14.50209291
-2030,Large Big Burger,21/11/05 0:00,1.054772847,14000,14.90318632
-2020,Double Cheeseburger,21/11/05 0:00,0.979431929,13000,13.39766035
-2010,Cheeseburger,21/11/05 0:00,0.721872983,9581.4201,58.94552353
-1010,1-pc Chicken & Rice,21/11/05 0:00,0.547933949,7272.7273,0.001900917
-2114,Nuggets,28/11/05 0:00,0.753409177,10000,4.200348014
-2054,2-pc Chicken,28/11/05 0:00,0.904091012,12000,107.8317127
-2045,Chicken Burger,28/11/05 0:00,0.804653356,10680.164,13.24239881
-2030,Large Big Burger,28/11/05 0:00,1.054772847,14000,14.54964103
-2020,Double Cheeseburger,28/11/05 0:00,0.979431929,13000,13.07767928
-2010,Cheeseburger,28/11/05 0:00,0.742246568,9851.8387,56.67928932
-2114,Nuggets,05/12/05 0:00,0.753409177,10000,4.432858032
-2054,2-pc Chicken,05/12/05 0:00,0.904091012,12000,100.7226262
-2045,Chicken Burger,05/12/05 0:00,0.828750094,11000,12.94851904
-2030,Large Big Burger,05/12/05 0:00,1.054772847,14000,13.98812979
-2020,Double Cheeseburger,05/12/05 0:00,0.979431929,13000,13.52373514
-2010,Cheeseburger,05/12/05 0:00,0.753409177,10000,55.89095169
-1010,1-pc Chicken & Rice,05/12/05 0:00,0.547954494,7273,1.759070648
-2114,Nuggets,12/12/05 0:00,0.753409177,10000,4.39176825
-2054,2-pc Chicken,12/12/05 0:00,0.904091012,12000,111.1683933
-2045,Chicken Burger,12/12/05 0:00,0.828750094,11000,12.67384083
-2030,Large Big Burger,12/12/05 0:00,1.054772847,14000,15.53834352
-2020,Double Cheeseburger,12/12/05 0:00,0.979431929,13000,13.46210692
-2010,Cheeseburger,12/12/05 0:00,0.753409177,10000,56.07246418
-1010,1-pc Chicken & Rice,12/12/05 0:00,0.547954494,7273,10.55713522
-2114,Nuggets,19/12/05 0:00,0.753409177,10000,4.188747815
-2054,2-pc Chicken,19/12/05 0:00,0.904091012,12000,103.2481775
-2045,Chicken Burger,19/12/05 0:00,0.828750094,11000,12.49527569
-2030,Large Big Burger,19/12/05 0:00,1.054772847,14000,13.02670863
-2020,Double Cheeseburger,19/12/05 0:00,0.979431929,13000,12.57944675
-2010,Cheeseburger,19/12/05 0:00,0.753409177,10000,54.09723242
-1010,1-pc Chicken & Rice,19/12/05 0:00,0.547954494,7273,0.920930371
-2114,Nuggets,26/12/05 0:00,0.753409177,10000,4.070259019
-2054,2-pc Chicken,26/12/05 0:00,0.904091012,12000,106.8983727
-2045,Chicken Burger,26/12/05 0:00,0.827974309,10989.703,14.0492757
-2030,Large Big Burger,26/12/05 0:00,1.054772847,14000,13.41022537
-2020,Double Cheeseburger,26/12/05 0:00,0.979431929,13000,12.93971578
-2010,Cheeseburger,26/12/05 0:00,0.753325759,9998.8928,58.87549614
-2114,Nuggets,02/01/06 0:00,0.753409177,10000,4.083309639
-2054,2-pc Chicken,02/01/06 0:00,0.904091012,12000,104.7578075
-2045,Chicken Burger,02/01/06 0:00,0.827147796,10978.7327,13.57927471
-2030,Large Big Burger,02/01/06 0:00,1.054772847,14000,13.77279649
-2020,Double Cheeseburger,02/01/06 0:00,0.979431929,13000,12.71884709
-2010,Cheeseburger,02/01/06 0:00,0.753193257,9997.1341,57.90469499
-2114,Nuggets,09/01/06 0:00,0.753409177,10000,4.050446194
-2054,2-pc Chicken,09/01/06 0:00,0.904091012,12000,99.78758393
-2045,Chicken Burger,09/01/06 0:00,0.828750094,11000,12.77194729
-2030,Large Big Burger,09/01/06 0:00,1.054772847,14000,13.3955541
-2020,Double Cheeseburger,09/01/06 0:00,0.979431929,13000,11.44078658
-2010,Cheeseburger,09/01/06 0:00,0.753409177,10000,56.92360966
-2114,Nuggets,16/01/06 0:00,0.753409177,10000,4.157011954
-2054,2-pc Chicken,16/01/06 0:00,0.904091012,12000,101.0354679
-2045,Chicken Burger,16/01/06 0:00,0.828750094,11000,12.39533414
-2030,Large Big Burger,16/01/06 0:00,1.054772847,14000,13.34983411
-2020,Double Cheeseburger,16/01/06 0:00,0.979431929,13000,11.71237295
-2010,Cheeseburger,16/01/06 0:00,0.753409177,10000,55.07629417
-1010,1-pc Chicken & Rice,16/01/06 0:00,0.547954494,7273,3.689636105
-2114,Nuggets,23/01/06 0:00,0.753409177,10000,4.342493453
-2054,2-pc Chicken,23/01/06 0:00,0.904091012,12000,109.1540425
-2045,Chicken Burger,23/01/06 0:00,0.828750094,11000,13.50316571
-2030,Large Big Burger,23/01/06 0:00,1.054772847,14000,14.30370935
-2020,Double Cheeseburger,23/01/06 0:00,0.979431929,13000,12.44571883
-2010,Cheeseburger,23/01/06 0:00,0.753409177,10000,59.51039215
-2114,Nuggets,30/01/06 0:00,0.753409177,10000,4.025334809
-2054,2-pc Chicken,30/01/06 0:00,0.927304468,12308.1122,99.41828556
-2045,Chicken Burger,30/01/06 0:00,0.879583892,11674.717,12.57788722
-2030,Large Big Burger,30/01/06 0:00,1.07765463,14303.7099,13.30136154
-2020,Double Cheeseburger,30/01/06 0:00,1.030322843,13675.4751,11.27328545
-2010,Cheeseburger,30/01/06 0:00,0.753409177,10000,55.61066809
-2114,Nuggets,06/02/06 0:00,0.753409177,10000,3.893278752
-2054,2-pc Chicken,06/02/06 0:00,0.938366594,12454.9398,104.2336902
-2045,Chicken Burger,06/02/06 0:00,0.904091012,12000,11.8017099
